date,market,turnover_krw,close,institution_net_x,individual_net_x,foreign_net_x,individual_ratio,foreign_ratio,institution_ratio,institution_net_y,individual_net_y,foreign_net_y,institution_net,individual_net,foreign_net,turnover_ma20,turnover_std20,turnover_ratio20,turnover_z20,turnover_chg_5d,turnover_chg_20d,ret_1d,ret_5d,ret_20d
2022-02-28,KOSPI,12894248000000.0,2699.18,,,,,,,,,,,,,11570267200000.0,2718061198163.666,1.1144295786012617,0.4871048528614761,0.6328583437152626,0.43608865711141465,0.008375797606060997,-0.016262118230191858,-0.003713218467171542
2022-03-02,KOSDAQ,6874850000000.0,895.45,,,,,,,,,,,,,7736228950000.0,1141663254129.717,0.8886564816569965,-0.7544947661967311,-0.027085401264207998,-0.23930494744727304,0.016321064160622845,0.031493704714840254,0.054425773936389366
2022-03-02,KOSPI,10996673000000.0,2703.52,,,,,,,,,,,,,11092659100000.0,1709438465598.0762,0.991346880929569,-0.056150661127434984,0.03835356060012329,-0.46485175436952997,0.0016078957312961606,-0.0012080730311549992,0.03405253032140121
2022-03-03,KOSDAQ,8396536000000.0,912.32,,,,,,,,,,,,,7702458850000.0,1109613092163.652,1.0901111143229283,0.6255127619723808,0.22401463709101965,-0.07444958287854264,0.018839689541571225,0.039882370373747644,0.04519573361439844
2022-03-03,KOSPI,10592862000000.0,2747.08,,,,,,,,,,,,,10934649350000.0,1592650158476.3901,0.9687427242465713,-0.21460290458701306,0.15914237447713164,-0.22978127699172624,0.016112327632124,0.010130426948774085,0.03144172355012875
2022-03-04,KOSDAQ,7348996000000.0,900.96,,,,,,,,,,,,,7604536950000.0,1045058544216.0155,0.9663962511221673,-0.24452309529864885,-0.1791663390329683,-0.21041653370843139,-0.012451771308312876,0.0621897879062967,0.010497981157469694
2022-03-04,KOSPI,12427424000000.0,2713.43,,,,,,,,,,,,,10932393750000.0,1590387822139.9456,1.136752323799168,0.9400413089106547,-0.08528648833097385,-0.0036169067782205744,-0.012249370240400737,0.024399728178797764,0.0020717772968659176
2022-03-07,KOSDAQ,6334514000000.0,881.54,,,,,,,,,,,,,7464342750000.0,1016131470837.1018,0.8486365393657733,-1.1118922919189118,-0.27119109742535263,-0.30682445654041335,-0.021554786006038107,0.009805493825746137,-0.023624663572828886
2022-03-07,KOSPI,12089300000000.0,2651.31,,,,,,,,,,,,,10967195950000.0,1608515976177.174,1.1023145802368928,0.6976020547006385,-0.010777503532440669,0.06109263234320372,-0.02289353327706989,-0.009507763116603729,-0.035978416586068374
2022-03-08,KOSDAQ,7405891000000.0,870.14,,,,,,,,,,,,,7432764400000.0,1007157329161.9214,0.9963844676685837,-0.026682425100715862,0.06763031595748781,-0.07857795337779683,-0.01293191460398846,-0.012405370742392896,-0.03253279964420719
2022-03-08,KOSPI,11679452000000.0,2622.4,,,,,,,,,,,,,10986571150000.0,1614954555104.5952,1.0630661596361664,0.42904046297149484,-0.09421224099303815,0.034316842408413484,-0.01090404366143527,-0.028445676094221106,-0.04468390490553931
2022-03-10,KOSDAQ,7435469000000.0,889.08,,,,,,,,,,,,,7324862800000.0,869704165753.0913,1.0151001053562396,0.12717680833944753,0.08154636101151302,-0.22494728462528957,0.02176661226929011,-0.007113741694120268,-0.006914115294827217
2022-03-10,KOSPI,13694703000000.0,2680.32,,,,,,,,,,,,,11082012450000.0,1717807561157.611,1.2357595754189936,1.5209448421797243,0.24534966166585104,0.16195875792696635,0.02208663819402079,-0.008581404983132979,-0.024085462429955462
2022-03-11,KOSDAQ,7829918000000.0,891.71,,,,,,,,,,,,,7377227600000.0,866861720500.6904,1.061363214549596,0.5222175455371714,-0.06748235224621202,0.15440872276237716,0.0029581140054888433,-0.02259075762890217,-0.020669280528922696
2022-03-11,KOSPI,12363206000000.0,2661.28,,,,,,,,,,,,,11183294200000.0,1731268131330.5874,1.1055066404315823,0.6815303641574944,0.1671261270089235,0.19594883556301568,-0.007103629417382962,-0.031233163941348563,-0.03885006410603675
2022-03-14,KOSDAQ,9133399000000.0,872.44,,,,,,,,,,,,,7448187400000.0,949997653974.1371,1.2262579483432439,1.773911328044057,0.2428090857581089,0.18397182443863613,-0.02161016473965749,-0.03165512342390342,-0.025946766702393598
2022-03-14,KOSPI,12037827000000.0,2645.65,,,,,,,,,,,,,11146377850000.0,1703159063785.3643,1.0799765773237266,0.5234092158243314,-0.031349779326753424,-0.05778945682714842,-0.005873113689653153,-0.024979454048934313,-0.04555670597742356
2022-03-15,KOSDAQ,7817049000000.0,871.22,,,,,,,,,,,,,7453676400000.0,951888658091.097,1.048750788268726,0.381738554095919,0.2340408435437984,0.014243696437739484,-0.0013983769657512912,-0.011706785852031554,-0.007066171274873967
2022-03-15,KOSPI,9583002000000.0,2621.53,,,,,,,,,,,,,11075897800000.0,1738653649257.336,0.86521220880171,-0.858650485470576,-0.2073153946051467,-0.12823177549484865,-0.009116852191332847,-0.011232183335784907,-0.04592187676283155
2022-03-16,KOSDAQ,7779377000000.0,891.8,,,,,,,,,,,,,7506039850000.0,938821479518.2158,1.0364156273430922,0.2911492290741698,0.050430933968647285,0.15556330944185692,0.023622047244094446,0.024892546027076135,0.04574396979326689
2022-03-16,KOSPI,9310851000000.0,2659.23,,,,,,,,,,,,,10962471000000.0,1777638732197.2632,0.8493387120476761,-0.9291089185250274,-0.20280069647103305,-0.19591157977533702,0.014380914961873437,0.014044386821232324,-0.01673149736733126
2022-03-17,KOSDAQ,9832703000000.0,914.13,,,,,,,,,,,,,7649607300000.0,1062538571982.9138,1.285386636775459,2.054603717515777,0.32240521747854767,0.4124699016886657,0.025039246467817966,0.02817519233364818,0.08835365272883133
2022-03-17,KOSPI,11900905000000.0,2694.51,,,,,,,,,,,,,11085724550000.0,1751483564728.769,1.0735342508577845,0.46542283719701194,-0.13098480485484054,0.26124569380936546,0.013266998341625369,0.0052941439828080306,0.00671389181555293
2022-03-18,KOSDAQ,8475000000000.0,922.96,,,,,,,,,,,,,7709282850000.0,1074227132778.2018,1.0993240441294745,0.7128074935322821,0.08238681426804217,0.16391029362263687,0.0096594576263771,0.03504502584921099,0.05102772874793615
2022-03-18,KOSPI,11442604000000.0,2707.02,,,,,,,,,,,,,11238360600000.0,1633208738338.4888,1.0181737717154227,0.12505651923451183,-0.07446304785344515,0.36385739824977303,0.004642773639734088,0.017187218180724884,-0.008301339351132642
